Time (s),Gold,Noob Mines Owned,OK Mines Owned,Good Mines Owned,Super Mines Owned,Alpha Gold Mines Owned,Sigma Gold Mines Owned,Income,Noob Mines Cost,OK Mines Cost,Good Mines Cost,Super Mines Cost,Alpha Gold Mines Cost,Sigma Gold Mines Cost,Noob Mines Bought,OK Mines Bought,Good Mines Bought,Super Mines Bought,Alpha Gold Mines Bought,Sigma Gold Mines Bought
47,13,6,0,0,0,0,0,7,27,100,300,2000,15000,250000,0,0,0,0,0,0
48,20,6,0,0,0,0,0,7,27,100,300,2000,15000,250000,0,0,0,0,0,0
49,27,6,0,0,0,0,0,7,27,100,300,2000,15000,250000,1,0,0,0,0,0
50,7,7,0,0,0,0,0,8,30,100,300,2000,15000,250000,0,0,0,0,0,0
51,15,7,0,0,0,0,0,8,30,100,300,2000,15000,250000,0,0,0,0,0,0
52,23,7,0,0,0,0,0,8,30,100,300,2000,15000,250000,0,0,0,0,0,0
53,31,7,0,0,0,0,0,8,30,100,300,2000,15000,250000,1,0,0,0,0,0
54,9,8,0,0,0,0,0,9,33,100,300,2000,15000,250000,0,0,0,0,0,0
55,18,8,0,0,0,0,0,9,33,100,300,2000,15000,250000,0,0,0,0,0,0
56,27,8,0,0,0,0,0,9,33,100,300,2000,15000,250000,0,0,0,0,0,0
57,36,8,0,0,0,0,0,9,33,100,300,2000,15000,250000,1,0,0,0,0,0
58,12,9,0,0,0,0,0,10,36,100,300,2000,15000,250000,0,0,0,0,0,0
59,22,9,0,0,0,0,0,10,36,100,300,2000,15000,250000,0,0,0,0,0,0
60,32,9,0,0,0,0,0,10,36,100,300,2000,15000,250000,0,0,0,0,0,0
61,42,9,0,0,0,0,0,10,36,100,300,2000,15000,250000,1,0,0,0,0,0
62,16,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
63,27,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
64,38,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
65,49,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
66,60,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
67,71,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
68,82,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
69,93,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
70,104,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
71,115,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
72,126,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
73,137,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
74,148,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
75,159,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
76,170,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
77,181,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
78,192,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
79,203,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
80,214,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
81,225,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
82,236,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
83,247,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
84,258,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
85,269,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
86,280,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
87,291,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,0,0,0,0
88,302,10,0,0,0,0,0,11,39,100,300,2000,15000,250000,0,0,1,0,0,0
89,13,10,0,1,0,0,0,31,39,100,330,2000,15000,250000,0,0,0,0,0,0
90,44,10,0,1,0,0,0,31,39,100,330,2000,15000,250000,0,0,0,0,0,0
91,75,10,0,1,0,0,0,31,39,100,330,2000,15000,250000,0,0,0,0,0,0
92,106,10,0,1,0,0,0,31,39,100,330,2000,15000,250000,0,1,0,0,0,0
93,37,10,1,1,0,0,0,36,39,111,330,2000,15000,250000,0,0,0,0,0,0
94,73,10,1,1,0,0,0,36,39,111,330,2000,15000,250000,0,0,0,0,0,0
95,109,10,1,1,0,0,0,36,39,111,330,2000,15000,250000,0,0,0,0,0,0
96,145,10,1,1,0,0,0,36,39,111,330,2000,15000,250000,0,1,0,0,0,0
97,70,10,2,1,0,0,0,41,39,122,330,2000,15000,250000,0,0,0,0,0,0
98,111,10,2,1,0,0,0,41,39,122,330,2000,15000,250000,0,0,0,0,0,0
99,152,10,2,1,0,0,0,41,39,122,330,2000,15000,250000,0,1,0,0,0,0
100,71,10,3,1,0,0,0,46,39,134,330,2000,15000,250000,0,0,0,0,0,0
101,117,10,3,1,0,0,0,46,39,134,330,2000,15000,250000,0,0,0,0,0,0
102,163,10,3,1,0,0,0,46,39,134,330,2000,15000,250000,0,1,0,0,0,0
103,75,10,4,1,0,0,0,51,39,147,330,2000,15000,250000,0,0,0,0,0,0
104,126,10,4,1,0,0,0,51,39,147,330,2000,15000,250000,0,0,0,0,0,0
105,177,10,4,1,0,0,0,51,39,147,330,2000,15000,250000,0,1,0,0,0,0
106,81,10,5,1,0,0,0,56,39,162,330,2000,15000,250000,0,0,0,0,0,0
107,137,10,5,1,0,0,0,56,39,162,330,2000,15000,250000,0,0,0,0,0,0
108,193,10,5,1,0,0,0,56,39,162,330,2000,15000,250000,0,1,0,0,0,0
109,87,10,6,1,0,0,0,61,39,178,330,2000,15000,250000,0,0,0,0,0,0
110,148,10,6,1,0,0,0,61,39,178,330,2000,15000,250000,0,0,0,0,0,0
111,209,10,6,1,0,0,0,61,39,178,330,2000,15000,250000,0,1,0,0,0,0
112,92,10,7,1,0,0,0,66,39,195,330,2000,15000,250000,0,0,0,0,0,0
113,158,10,7,1,0,0,0,66,39,195,330,2000,15000,250000,0,0,0,0,0,0
114,224,10,7,1,0,0,0,66,39,195,330,2000,15000,250000,0,1,0,0,0,0
115,95,10,8,1,0,0,0,71,39,215,330,2000,15000,250000,0,0,0,0,0,0
116,166,10,8,1,0,0,0,71,39,215,330,2000,15000,250000,0,0,0,0,0,0
117,237,10,8,1,0,0,0,71,39,215,330,2000,15000,250000,0,1,0,0,0,0
118,93,10,9,1,0,0,0,76,39,236,330,2000,15000,250000,0,0,0,0,0,0
119,169,10,9,1,0,0,0,76,39,236,330,2000,15000,250000,0,0,0,0,0,0
120,245,10,9,1,0,0,0,76,39,236,330,2000,15000,250000,0,1,0,0,0,0
121,85,10,10,1,0,0,0,81,39,260,330,2000,15000,250000,0,0,0,0,0,0
122,166,10,10,1,0,0,0,81,39,260,330,2000,15000,250000,0,0,0,0,0,0
123,247,10,10,1,0,0,0,81,39,260,330,2000,15000,250000,0,0,0,0,0,0
124,328,10,10,1,0,0,0,81,39,260,330,2000,15000,250000,0,1,0,0,0,0
125,149,10,11,1,0,0,0,86,39,286,330,2000,15000,250000,0,0,0,0,0,0
126,235,10,11,1,0,0,0,86,39,286,330,2000,15000,250000,0,0,0,0,0,0
127,321,10,11,1,0,0,0,86,39,286,330,2000,15000,250000,0,1,0,0,0,0
128,121,10,12,1,0,0,0,91,39,314,330,2000,15000,250000,0,0,0,0,0,0
129,212,10,12,1,0,0,0,91,39,314,330,2000,15000,250000,0,0,0,0,0,0
130,303,10,12,1,0,0,0,91,39,314,330,2000,15000,250000,0,0,0,0,0,0
131,394,10,12,1,0,0,0,91,39,314,330,2000,15000,250000,0,0,1,0,0,0
132,155,10,12,2,0,0,0,111,39,314,364,2000,15000,250000,0,0,0,0,0,0
133,266,10,12,2,0,0,0,111,39,314,364,2000,15000,250000,0,0,0,0,0,0
134,377,10,12,2,0,0,0,111,39,314,364,2000,15000,250000,0,0,1,0,0,0
135,124,10,12,3,0,0,0,131,39,314,400,2000,15000,250000,0,0,0,0,0,0
136,255,10,12,3,0,0,0,131,39,314,400,2000,15000,250000,0,0,0,0,0,0
137,386,10,12,3,0,0,0,131,39,314,400,2000,15000,250000,0,1,0,0,0,0
138,203,10,13,3,0,0,0,136,39,346,400,2000,15000,250000,0,0,0,0,0,0
139,339,10,13,3,0,0,0,136,39,346,400,2000,15000,250000,0,0,0,0,0,0
140,475,10,13,3,0,0,0,136,39,346,400,2000,15000,250000,0,0,1,0,0,0
141,211,10,13,4,0,0,0,156,39,346,440,2000,15000,250000,0,0,0,0,0,0
142,367,10,13,4,0,0,0,156,39,346,440,2000,15000,250000,0,1,0,0,0,0
143,177,10,14,4,0,0,0,161,39,380,440,2000,15000,250000,0,0,0,0,0,0
144,338,10,14,4,0,0,0,161,39,380,440,2000,15000,250000,0,0,0,0,0,0
145,499,10,14,4,0,0,0,161,39,380,440,2000,15000,250000,0,0,1,0,0,0
146,220,10,14,5,0,0,0,181,39,380,484,2000,15000,250000,0,0,0,0,0,0
147,401,10,14,5,0,0,0,181,39,380,484,2000,15000,250000,0,1,0,0,0,0
148,202,10,15,5,0,0,0,186,39,418,484,2000,15000,250000,0,0,0,0,0,0
149,388,10,15,5,0,0,0,186,39,418,484,2000,15000,250000,0,0,0,0,0,0
150,574,10,15,5,0,0,0,186,39,418,484,2000,15000,250000,0,0,1,0,0,0
151,276,10,15,6,0,0,0,206,39,418,532,2000,15000,250000,0,0,0,0,0,0
152,482,10,15,6,0,0,0,206,39,418,532,2000,15000,250000,0,1,0,0,0,0
153,270,10,16,6,0,0,0,211,39,460,532,2000,15000,250000,0,0,0,0,0,0
154,481,10,16,6,0,0,0,211,39,460,532,2000,15000,250000,0,1,0,0,0,0
155,232,10,17,6,0,0,0,216,39,506,532,2000,15000,250000,0,0,0,0,0,0
156,448,10,17,6,0,0,0,216,39,506,532,2000,15000,250000,0,0,0,0,0,0
157,664,10,17,6,0,0,0,216,39,506,532,2000,15000,250000,0,0,1,0,0,0
158,348,10,17,7,0,0,0,236,39,506,585,2000,15000,250000,0,0,0,0,0,0
159,584,10,17,7,0,0,0,236,39,506,585,2000,15000,250000,0,1,0,0,0,0
160,314,10,18,7,0,0,0,241,39,556,585,2000,15000,250000,0,0,0,0,0,0
161,555,10,18,7,0,0,0,241,39,556,585,2000,15000,250000,0,0,0,0,0,0
162,796,10,18,7,0,0,0,241,39,556,585,2000,15000,250000,0,0,1,0,0,0
163,452,10,18,8,0,0,0,261,39,556,644,2000,15000,250000,0,0,0,0,0,0
164,713,10,18,8,0,0,0,261,39,556,644,2000,15000,250000,0,0,1,0,0,0
165,330,10,18,9,0,0,0,281,39,556,708,2000,15000,250000,0,0,0,0,0,0
166,611,10,18,9,0,0,0,281,39,556,708,2000,15000,250000,0,1,0,0,0,0
167,336,10,19,9,0,0,0,286,39,612,708,2000,15000,250000,0,0,0,0,0,0
168,622,10,19,9,0,0,0,286,39,612,708,2000,15000,250000,0,1,0,0,0,0
169,296,10,20,9,0,0,0,291,39,673,708,2000,15000,250000,0,0,0,0,0,0
170,587,10,20,9,0,0,0,291,39,673,708,2000,15000,250000,0,0,0,0,0,0
171,878,10,20,9,0,0,0,291,39,673,708,2000,15000,250000,0,0,1,0,0,0
172,461,10,20,10,0,0,0,311,39,673,779,2000,15000,250000,0,0,0,0,0,0
173,772,10,20,10,0,0,0,311,39,673,779,2000,15000,250000,0,1,0,0,0,0
174,410,10,21,10,0,0,0,316,39,741,779,2000,15000,250000,0,0,0,0,0,0
175,726,10,21,10,0,0,0,316,39,741,779,2000,15000,250000,0,0,0,0,0,0
176,1042,10,21,10,0,0,0,316,39,741,779,2000,15000,250000,0,0,1,0,0,0
177,579,10,21,11,0,0,0,336,39,741,856,2000,15000,250000,0,0,0,0,0,0
178,915,10,21,11,0,0,0,336,39,741,856,2000,15000,250000,0,0,1,0,0,0
179,395,10,21,12,0,0,0,356,39,741,942,2000,15000,250000,0,0,0,0,0,0
180,751,10,21,12,0,0,0,356,39,741,942,2000,15000,250000,0,1,0,0,0,0
181,366,10,22,12,0,0,0,361,39,815,942,2000,15000,250000,0,0,0,0,0,0
182,727,10,22,12,0,0,0,361,39,815,942,2000,15000,250000,0,0,0,0,0,0
183,1088,10,22,12,0,0,0,361,39,815,942,2000,15000,250000,0,0,1,0,0,0
184,507,10,22,13,0,0,0,381,39,815,1036,2000,15000,250000,0,0,0,0,0,0
185,888,10,22,13,0,0,0,381,39,815,1036,2000,15000,250000,0,1,0,0,0,0
186,454,10,23,13,0,0,0,386,39,896,1036,2000,15000,250000,0,0,0,0,0,0
187,840,10,23,13,0,0,0,386,39,896,1036,2000,15000,250000,0,0,0,0,0,0
188,1226,10,23,13,0,0,0,386,39,896,1036,2000,15000,250000,0,0,1,0,0,0
189,576,10,23,14,0,0,0,406,39,896,1140,2000,15000,250000,0,0,0,0,0,0
190,982,10,23,14,0,0,0,406,39,896,1140,2000,15000,250000,0,1,0,0,0,0
191,492,10,24,14,0,0,0,411,39,985,1140,2000,15000,250000,0,0,0,0,0,0
192,903,10,24,14,0,0,0,411,39,985,1140,2000,15000,250000,0,0,0,0,0,0
193,1314,10,24,14,0,0,0,411,39,985,1140,2000,15000,250000,0,0,1,0,0,0
194,585,10,24,15,0,0,0,431,39,985,1254,2000,15000,250000,0,0,0,0,0,0
195,1016,10,24,15,0,0,0,431,39,985,1254,2000,15000,250000,0,1,0,0,0,0
196,462,10,25,15,0,0,0,436,39,1084,1254,2000,15000,250000,0,0,0,0,0,0
197,898,10,25,15,0,0,0,436,39,1084,1254,2000,15000,250000,0,0,0,0,0,0
198,1334,10,25,15,0,0,0,436,39,1084,1254,2000,15000,250000,0,0,1,0,0,0
199,516,10,25,16,0,0,0,456,39,1084,1379,2000,15000,250000,0,0,0,0,0,0
200,972,10,25,16,0,0,0,456,39,1084,1379,2000,15000,250000,0,0,0,0,0,0
201,1428,10,25,16,0,0,0,456,39,1084,1379,2000,15000,250000,0,0,1,0,0,0
202,505,10,25,17,0,0,0,476,39,1084,1517,2000,15000,250000,0,0,0,0,0,0
203,981,10,25,17,0,0,0,476,39,1084,1517,2000,15000,250000,0,0,0,0,0,0
204,1457,10,25,17,0,0,0,476,39,1084,1517,2000,15000,250000,0,1,0,0,0,0
205,849,10,26,17,0,0,0,481,39,1192,1517,2000,15000,250000,0,0,0,0,0,0
206,1330,10,26,17,0,0,0,481,39,1192,1517,2000,15000,250000,0,1,0,0,0,0
207,619,10,27,17,0,0,0,486,39,1311,1517,2000,15000,250000,0,0,0,0,0,0
208,1105,10,27,17,0,0,0,486,39,1311,1517,2000,15000,250000,0,0,0,0,0,0
209,1591,10,27,17,0,0,0,486,39,1311,1517,2000,15000,250000,0,0,1,0,0,0
210,560,10,27,18,0,0,0,506,39,1311,1668,2000,15000,250000,0,0,0,0,0,0
211,1066,10,27,18,0,0,0,506,39,1311,1668,2000,15000,250000,0,0,0,0,0,0
212,1572,10,27,18,0,0,0,506,39,1311,1668,2000,15000,250000,0,1,0,0,0,0
213,767,10,28,18,0,0,0,511,39,1443,1668,2000,15000,250000,0,0,0,0,0,0
214,1278,10,28,18,0,0,0,511,39,1443,1668,2000,15000,250000,0,0,0,0,0,0
215,1789,10,28,18,0,0,0,511,39,1443,1668,2000,15000,250000,0,0,1,0,0,0
216,632,10,28,19,0,0,0,531,39,1443,1835,2000,15000,250000,0,0,0,0,0,0
217,1163,10,28,19,0,0,0,531,39,1443,1835,2000,15000,250000,0,0,0,0,0,0
218,1694,10,28,19,0,0,0,531,39,1443,1835,2000,15000,250000,0,1,0,0,0,0
219,782,10,29,19,0,0,0,536,39,1587,1835,2000,15000,250000,0,0,0,0,0,0
220,1318,10,29,19,0,0,0,536,39,1587,1835,2000,15000,250000,0,0,0,0,0,0
221,1854,10,29,19,0,0,0,536,39,1587,1835,2000,15000,250000,0,0,1,0,0,0
222,555,10,29,20,0,0,0,556,39,1587,2019,2000,15000,250000,0,0,0,0,0,0
223,1111,10,29,20,0,0,0,556,39,1587,2019,2000,15000,250000,0,0,0,0,0,0
224,1667,10,29,20,0,0,0,556,39,1587,2019,2000,15000,250000,0,1,0,0,0,0
225,636,10,30,20,0,0,0,561,39,1745,2019,2000,15000,250000,0,0,0,0,0,0
226,1197,10,30,20,0,0,0,561,39,1745,2019,2000,15000,250000,0,0,0,0,0,0
227,1758,10,30,20,0,0,0,561,39,1745,2019,2000,15000,250000,0,1,0,0,0,0
228,574,10,31,20,0,0,0,566,39,1920,2019,2000,15000,250000,0,0,0,0,0,0
229,1140,10,31,20,0,0,0,566,39,1920,2019,2000,15000,250000,0,0,0,0,0,0
230,1706,10,31,20,0,0,0,566,39,1920,2019,2000,15000,250000,0,0,0,0,0,0
231,2272,10,31,20,0,0,0,566,39,1920,2019,2000,15000,250000,0,0,1,0,0,0
232,819,10,31,21,0,0,0,586,39,1920,2221,2000,15000,250000,0,0,0,0,0,0
233,1405,10,31,21,0,0,0,586,39,1920,2221,2000,15000,250000,0,0,0,0,0,0
234,1991,10,31,21,0,0,0,586,39,1920,2221,2000,15000,250000,0,1,0,0,0,0
235,657,10,32,21,0,0,0,591,39,2112,2221,2000,15000,250000,0,0,0,0,0,0
236,1248,10,32,21,0,0,0,591,39,2112,2221,2000,15000,250000,0,0,0,0,0,0
237,1839,10,32,21,0,0,0,591,39,2112,2221,2000,15000,250000,0,0,0,0,0,0
238,2430,10,32,21,0,0,0,591,39,2112,2221,2000,15000,250000,0,0,1,0,0,0
239,800,10,32,22,0,0,0,611,39,2112,2443,2000,15000,250000,0,0,0,0,0,0
240,1411,10,32,22,0,0,0,611,39,2112,2443,2000,15000,250000,0,0,0,0,0,0
241,2022,10,32,22,0,0,0,611,39,2112,2443,2000,15000,250000,0,0,0,0,0,0
242,2633,10,32,22,0,0,0,611,39,2112,2443,2000,15000,250000,0,0,1,0,0,0
243,801,10,32,23,0,0,0,631,39,2112,2687,2000,15000,250000,0,0,0,0,0,0
244,1432,10,32,23,0,0,0,631,39,2112,2687,2000,15000,250000,0,0,0,0,0,0
245,2063,10,32,23,0,0,0,631,39,2112,2687,2000,15000,250000,0,0,0,0,0,0
246,2694,10,32,23,0,0,0,631,39,2112,2687,2000,15000,250000,0,0,1,0,0,0
247,638,10,32,24,0,0,0,651,39,2112,2955,2000,15000,250000,0,0,0,0,0,0
248,1289,10,32,24,0,0,0,651,39,2112,2955,2000,15000,250000,0,0,0,0,0,0
249,1940,10,32,24,0,0,0,651,39,2112,2955,2000,15000,250000,0,0,0,0,0,0
250,2591,10,32,24,0,0,0,651,39,2112,2955,2000,15000,250000,0,1,0,0,0,0
251,1130,10,33,24,0,0,0,656,39,2323,2955,2000,15000,250000,0,0,0,0,0,0
252,1786,10,33,24,0,0,0,656,39,2323,2955,2000,15000,250000,0,0,0,0,0,0
253,2442,10,33,24,0,0,0,656,39,2323,2955,2000,15000,250000,0,1,0,0,0,0
254,775,10,34,24,0,0,0,661,39,2555,2955,2000,15000,250000,0,0,0,0,0,0
255,1436,10,34,24,0,0,0,661,39,2555,2955,2000,15000,250000,0,0,0,0,0,0
256,2097,10,34,24,0,0,0,661,39,2555,2955,2000,15000,250000,0,0,0,0,0,0
257,2758,10,34,24,0,0,0,661,39,2555,2955,2000,15000,250000,0,1,0,0,0,0
258,864,10,35,24,0,0,0,666,39,2811,2955,2000,15000,250000,0,0,0,0,0,0
259,1530,10,35,24,0,0,0,666,39,2811,2955,2000,15000,250000,0,0,0,0,0,0
260,2196,10,35,24,0,0,0,666,39,2811,2955,2000,15000,250000,0,0,0,0,0,0
261,2862,10,35,24,0,0,0,666,39,2811,2955,2000,15000,250000,0,1,0,0,0,0
262,717,10,36,24,0,0,0,671,39,3092,2955,2000,15000,250000,0,0,0,0,0,0
263,1388,10,36,24,0,0,0,671,39,3092,2955,2000,15000,250000,0,0,0,0,0,0
264,2059,10,36,24,0,0,0,671,39,3092,2955,2000,15000,250000,0,0,0,0,0,0
265,2730,10,36,24,0,0,0,671,39,3092,2955,2000,15000,250000,0,0,0,0,0,0
266,3401,10,36,24,0,0,0,671,39,3092,2955,2000,15000,250000,0,0,1,0,0,0
267,1117,10,36,25,0,0,0,691,39,3092,3251,2000,15000,250000,0,0,0,0,0,0
268,1808,10,36,25,0,0,0,691,39,3092,3251,2000,15000,250000,0,0,0,0,0,0
269,2499,10,36,25,0,0,0,691,39,3092,3251,2000,15000,250000,0,0,0,0,0,0
270,3190,10,36,25,0,0,0,691,39,3092,3251,2000,15000,250000,0,1,0,0,0,0
271,789,10,37,25,0,0,0,696,39,3401,3251,2000,15000,250000,0,0,0,0,0,0
272,1485,10,37,25,0,0,0,696,39,3401,3251,2000,15000,250000,0,0,0,0,0,0
273,2181,10,37,25,0,0,0,696,39,3401,3251,2000,15000,250000,0,0,0,0,0,0
274,2877,10,37,25,0,0,0,696,39,3401,3251,2000,15000,250000,0,0,0,0,0,0
275,3573,10,37,25,0,0,0,696,39,3401,3251,2000,15000,250000,0,0,1,0,0,0
276,1018,10,37,26,0,0,0,716,39,3401,3576,2000,15000,250000,0,0,0,0,0,0
277,1734,10,37,26,0,0,0,716,39,3401,3576,2000,15000,250000,0,0,0,0,0,0
278,2450,10,37,26,0,0,0,716,39,3401,3576,2000,15000,250000,0,0,0,0,0,0
279,3166,10,37,26,0,0,0,716,39,3401,3576,2000,15000,250000,0,0,0,0,0,0
280,3882,10,37,26,0,0,0,716,39,3401,3576,2000,15000,250000,0,0,1,0,0,0
281,1022,10,37,27,0,0,0,736,39,3401,3933,2000,15000,250000,0,0,0,0,0,0
282,1758,10,37,27,0,0,0,736,39,3401,3933,2000,15000,250000,0,0,0,0,0,0
283,2494,10,37,27,0,0,0,736,39,3401,3933,2000,15000,250000,0,0,0,0,0,0
284,3230,10,37,27,0,0,0,736,39,3401,3933,2000,15000,250000,0,0,0,0,0,0
285,3966,10,37,27,0,0,0,736,39,3401,3933,2000,15000,250000,0,0,1,0,0,0
286,769,10,37,28,0,0,0,756,39,3401,4327,2000,15000,250000,0,0,0,0,0,0
287,1525,10,37,28,0,0,0,756,39,3401,4327,2000,15000,250000,0,0,0,0,0,0
288,2281,10,37,28,0,0,0,756,39,3401,4327,2000,15000,250000,0,0,0,0,0,0
289,3037,10,37,28,0,0,0,756,39,3401,4327,2000,15000,250000,0,0,0,0,0,0
290,3793,10,37,28,0,0,0,756,39,3401,4327,2000,15000,250000,0,1,0,0,0,0
291,1148,10,38,28,0,0,0,761,39,3741,4327,2000,15000,250000,0,0,0,0,0,0
292,1909,10,38,28,0,0,0,761,39,3741,4327,2000,15000,250000,0,0,0,0,0,0
293,2670,10,38,28,0,0,0,761,39,3741,4327,2000,15000,250000,0,0,0,0,0,0
294,3431,10,38,28,0,0,0,761,39,3741,4327,2000,15000,250000,0,0,0,0,0,0
