Time,Gold,Noob Mines,OK Mines,Good Mines,Super Mines,Alpha Mines,Sigma Mines,Income,Noob Cost,OK Cost,Good Cost,Super Cost,Alpha Cost,Sigma Cost,Buy Noob,Buy OK,Buy Good,Buy Super,Buy Alpha,Buy Sigma
20,9,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
21,11,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
22,13,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
23,15,1,0,0,0,0,0,2,17,100,300,2000,15000,250000,0,0,0,0,0,0
24,0,2,0,0,0,0,0,2,17,100,300,2000,15000,250000,1,0,0,0,0,0
25,2,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
26,5,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
27,8,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
28,11,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
29,14,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
30,17,2,0,0,0,0,0,3,19,100,300,2000,15000,250000,0,0,0,0,0,0
31,1,3,0,0,0,0,0,3,19,100,300,2000,15000,250000,1,0,0,0,0,0
32,4,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
33,8,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
34,12,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
35,16,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
36,20,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
37,24,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
38,28,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
39,32,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
40,36,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
41,40,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
42,44,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
43,48,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
44,52,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
45,56,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
46,60,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
47,64,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
48,68,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
49,72,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
50,76,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
51,80,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
52,84,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
53,88,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
54,92,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
55,96,3,0,0,0,0,0,4,20,100,300,2000,15000,250000,0,0,0,0,0,0
56,0,3,1,0,0,0,0,4,20,100,300,2000,15000,250000,0,1,0,0,0,0
57,4,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
58,13,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
59,22,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
60,31,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
61,40,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
62,49,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
63,58,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
64,67,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
65,76,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
66,85,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
67,94,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
68,103,3,1,0,0,0,0,9,20,111,300,2000,15000,250000,0,0,0,0,0,0
69,1,3,2,0,0,0,0,9,20,111,300,2000,15000,250000,0,1,0,0,0,0
70,10,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
71,24,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
72,38,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
73,52,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
74,66,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
75,80,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
76,94,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
77,108,3,2,0,0,0,0,14,20,122,300,2000,15000,250000,0,0,0,0,0,0
78,0,3,3,0,0,0,0,14,20,122,300,2000,15000,250000,0,1,0,0,0,0
79,14,3,3,0,0,0,0,19,20,134,300,2000,15000,250000,0,0,0,0,0,0
80,33,3,3,0,0,0,0,19,20,134,300,2000,15000,250000,0,0,0,0,0,0
81,52,3,3,0,0,0,0,19,20,134,300,2000,15000,250000,0,0,0,0,0,0
82,71,3,3,0,0,0,0,19,20,134,300,2000,15000,250000,0,0,0,0,0,0
83,90,3,3,0,0,0,0,19,20,134,300,2000,15000,250000,0,0,0,0,0,0
84,109,3,3,0,0,0,0,19,20,134,300,2000,15000,250000,0,0,0,0,0,0
85,128,3,3,0,0,0,0,19,20,134,300,2000,15000,250000,0,0,0,0,0,0
86,13,3,4,0,0,0,0,19,20,134,300,2000,15000,250000,0,1,0,0,0,0
87,32,3,4,0,0,0,0,24,20,147,300,2000,15000,250000,0,0,0,0,0,0
88,56,3,4,0,0,0,0,24,20,147,300,2000,15000,250000,0,0,0,0,0,0
89,80,3,4,0,0,0,0,24,20,147,300,2000,15000,250000,0,0,0,0,0,0
90,104,3,4,0,0,0,0,24,20,147,300,2000,15000,250000,0,0,0,0,0,0
91,128,3,4,0,0,0,0,24,20,147,300,2000,15000,250000,0,0,0,0,0,0
92,5,3,5,0,0,0,0,24,20,147,300,2000,15000,250000,0,1,0,0,0,0
93,29,3,5,0,0,0,0,29,20,162,300,2000,15000,250000,0,0,0,0,0,0
94,58,3,5,0,0,0,0,29,20,162,300,2000,15000,250000,0,0,0,0,0,0
95,87,3,5,0,0,0,0,29,20,162,300,2000,15000,250000,0,0,0,0,0,0
96,116,3,5,0,0,0,0,29,20,162,300,2000,15000,250000,0,0,0,0,0,0
97,145,3,5,0,0,0,0,29,20,162,300,2000,15000,250000,0,0,0,0,0,0
98,12,3,6,0,0,0,0,29,20,162,300,2000,15000,250000,0,1,0,0,0,0
99,41,3,6,0,0,0,0,34,20,178,300,2000,15000,250000,0,0,0,0,0,0
100,75,3,6,0,0,0,0,34,20,178,300,2000,15000,250000,0,0,0,0,0,0
101,109,3,6,0,0,0,0,34,20,178,300,2000,15000,250000,0,0,0,0,0,0
102,143,3,6,0,0,0,0,34,20,178,300,2000,15000,250000,0,0,0,0,0,0
103,177,3,6,0,0,0,0,34,20,178,300,2000,15000,250000,0,0,0,0,0,0
104,33,3,7,0,0,0,0,34,20,178,300,2000,15000,250000,0,1,0,0,0,0
105,67,3,7,0,0,0,0,39,20,195,300,2000,15000,250000,0,0,0,0,0,0
106,106,3,7,0,0,0,0,39,20,195,300,2000,15000,250000,0,0,0,0,0,0
107,145,3,7,0,0,0,0,39,20,195,300,2000,15000,250000,0,0,0,0,0,0
108,184,3,7,0,0,0,0,39,20,195,300,2000,15000,250000,0,0,0,0,0,0
109,28,3,8,0,0,0,0,39,20,195,300,2000,15000,250000,0,1,0,0,0,0
110,67,3,8,0,0,0,0,44,20,215,300,2000,15000,250000,0,0,0,0,0,0
111,111,3,8,0,0,0,0,44,20,215,300,2000,15000,250000,0,0,0,0,0,0
112,155,3,8,0,0,0,0,44,20,215,300,2000,15000,250000,0,0,0,0,0,0
113,199,3,8,0,0,0,0,44,20,215,300,2000,15000,250000,0,0,0,0,0,0
114,28,3,9,0,0,0,0,44,20,215,300,2000,15000,250000,0,1,0,0,0,0
115,72,3,9,0,0,0,0,49,20,236,300,2000,15000,250000,0,0,0,0,0,0
116,121,3,9,0,0,0,0,49,20,236,300,2000,15000,250000,0,0,0,0,0,0
117,170,3,9,0,0,0,0,49,20,236,300,2000,15000,250000,0,0,0,0,0,0
118,219,3,9,0,0,0,0,49,20,236,300,2000,15000,250000,0,0,0,0,0,0
119,32,3,10,0,0,0,0,49,20,236,300,2000,15000,250000,0,1,0,0,0,0
120,81,3,10,0,0,0,0,54,20,260,300,2000,15000,250000,0,0,0,0,0,0
121,135,3,10,0,0,0,0,54,20,260,300,2000,15000,250000,0,0,0,0,0,0
122,189,3,10,0,0,0,0,54,20,260,300,2000,15000,250000,0,0,0,0,0,0
123,243,3,10,0,0,0,0,54,20,260,300,2000,15000,250000,0,0,0,0,0,0
124,37,3,11,0,0,0,0,54,20,260,300,2000,15000,250000,0,1,0,0,0,0
125,91,3,11,0,0,0,0,59,20,286,300,2000,15000,250000,0,0,0,0,0,0
126,150,3,11,0,0,0,0,59,20,286,300,2000,15000,250000,0,0,0,0,0,0
127,209,3,11,0,0,0,0,59,20,286,300,2000,15000,250000,0,0,0,0,0,0
128,268,3,11,0,0,0,0,59,20,286,300,2000,15000,250000,0,0,0,0,0,0
129,41,3,12,0,0,0,0,59,20,286,300,2000,15000,250000,0,1,0,0,0,0
130,100,3,12,0,0,0,0,64,20,314,300,2000,15000,250000,0,0,0,0,0,0
131,164,3,12,0,0,0,0,64,20,314,300,2000,15000,250000,0,0,0,0,0,0
132,228,3,12,0,0,0,0,64,20,314,300,2000,15000,250000,0,0,0,0,0,0
133,292,3,12,0,0,0,0,64,20,314,300,2000,15000,250000,0,0,0,0,0,0
134,42,3,13,0,0,0,0,64,20,314,300,2000,15000,250000,0,1,0,0,0,0
135,106,3,13,0,0,0,0,69,20,346,300,2000,15000,250000,0,0,0,0,0,0
136,175,3,13,0,0,0,0,69,20,346,300,2000,15000,250000,0,0,0,0,0,0
137,244,3,13,0,0,0,0,69,20,346,300,2000,15000,250000,0,0,0,0,0,0
138,313,3,13,0,0,0,0,69,20,346,300,2000,15000,250000,0,0,0,0,0,0
139,36,3,14,0,0,0,0,69,20,346,300,2000,15000,250000,0,1,0,0,0,0
140,105,3,14,0,0,0,0,74,20,380,300,2000,15000,250000,0,0,0,0,0,0
141,179,3,14,0,0,0,0,74,20,380,300,2000,15000,250000,0,0,0,0,0,0
142,253,3,14,0,0,0,0,74,20,380,300,2000,15000,250000,0,0,0,0,0,0
143,327,3,14,0,0,0,0,74,20,380,300,2000,15000,250000,0,0,0,0,0,0
144,21,3,15,0,0,0,0,74,20,380,300,2000,15000,250000,0,1,0,0,0,0
145,95,3,15,0,0,0,0,79,20,418,300,2000,15000,250000,0,0,0,0,0,0
146,174,3,15,0,0,0,0,79,20,418,300,2000,15000,250000,0,0,0,0,0,0
147,253,3,15,0,0,0,0,79,20,418,300,2000,15000,250000,0,0,0,0,0,0
148,332,3,15,0,0,0,0,79,20,418,300,2000,15000,250000,0,0,0,0,0,0
149,411,3,15,0,0,0,0,79,20,418,300,2000,15000,250000,0,0,0,0,0,0
150,72,3,16,0,0,0,0,79,20,418,300,2000,15000,250000,0,1,0,0,0,0
151,151,3,16,0,0,0,0,84,20,460,300,2000,15000,250000,0,0,0,0,0,0
152,235,3,16,0,0,0,0,84,20,460,300,2000,15000,250000,0,0,0,0,0,0
153,319,3,16,0,0,0,0,84,20,460,300,2000,15000,250000,0,0,0,0,0,0
154,403,3,16,0,0,0,0,84,20,460,300,2000,15000,250000,0,0,0,0,0,0
155,27,3,17,0,0,0,0,84,20,460,300,2000,15000,250000,0,1,0,0,0,0
156,111,3,17,0,0,0,0,89,20,506,300,2000,15000,250000,0,0,0,0,0,0
157,200,3,17,0,0,0,0,89,20,506,300,2000,15000,250000,0,0,0,0,0,0
158,289,3,17,0,0,0,0,89,20,506,300,2000,15000,250000,0,0,0,0,0,0
159,378,3,17,0,0,0,0,89,20,506,300,2000,15000,250000,0,0,0,0,0,0
160,467,3,17,0,0,0,0,89,20,506,300,2000,15000,250000,0,0,0,0,0,0
161,50,3,18,0,0,0,0,89,20,506,300,2000,15000,250000,0,1,0,0,0,0
162,139,3,18,0,0,0,0,94,20,556,300,2000,15000,250000,0,0,0,0,0,0
163,233,3,18,0,0,0,0,94,20,556,300,2000,15000,250000,0,0,0,0,0,0
164,327,3,18,0,0,0,0,94,20,556,300,2000,15000,250000,0,0,0,0,0,0
165,421,3,18,0,0,0,0,94,20,556,300,2000,15000,250000,0,0,0,0,0,0
166,515,3,18,0,0,0,0,94,20,556,300,2000,15000,250000,0,0,0,0,0,0
167,53,3,19,0,0,0,0,94,20,556,300,2000,15000,250000,0,1,0,0,0,0
168,147,3,19,0,0,0,0,99,20,612,300,2000,15000,250000,0,0,0,0,0,0
169,246,3,19,0,0,0,0,99,20,612,300,2000,15000,250000,0,0,0,0,0,0
170,345,3,19,0,0,0,0,99,20,612,300,2000,15000,250000,0,0,0,0,0,0
171,444,3,19,0,0,0,0,99,20,612,300,2000,15000,250000,0,0,0,0,0,0
172,543,3,19,0,0,0,0,99,20,612,300,2000,15000,250000,0,0,0,0,0,0
173,30,3,20,0,0,0,0,99,20,612,300,2000,15000,250000,0,1,0,0,0,0
174,129,3,20,0,0,0,0,104,20,673,300,2000,15000,250000,0,0,0,0,0,0
175,233,3,20,0,0,0,0,104,20,673,300,2000,15000,250000,0,0,0,0,0,0
176,337,3,20,0,0,0,0,104,20,673,300,2000,15000,250000,0,0,0,0,0,0
177,441,3,20,0,0,0,0,104,20,673,300,2000,15000,250000,0,0,0,0,0,0
178,545,3,20,0,0,0,0,104,20,673,300,2000,15000,250000,0,0,0,0,0,0
179,649,3,20,0,0,0,0,104,20,673,300,2000,15000,250000,0,0,0,0,0,0
180,80,3,21,0,0,0,0,104,20,673,300,2000,15000,250000,0,1,0,0,0,0
181,184,3,21,0,0,0,0,109,20,741,300,2000,15000,250000,0,0,0,0,0,0
182,293,3,21,0,0,0,0,109,20,741,300,2000,15000,250000,0,0,0,0,0,0
183,402,3,21,0,0,0,0,109,20,741,300,2000,15000,250000,0,0,0,0,0,0
184,511,3,21,0,0,0,0,109,20,741,300,2000,15000,250000,0,0,0,0,0,0
185,620,3,21,0,0,0,0,109,20,741,300,2000,15000,250000,0,0,0,0,0,0
186,729,3,21,0,0,0,0,109,20,741,300,2000,15000,250000,0,0,0,0,0,0
187,97,3,22,0,0,0,0,109,20,741,300,2000,15000,250000,0,1,0,0,0,0
188,206,3,22,0,0,0,0,114,20,815,300,2000,15000,250000,0,0,0,0,0,0
189,320,3,22,0,0,0,0,114,20,815,300,2000,15000,250000,0,0,0,0,0,0
190,434,3,22,0,0,0,0,114,20,815,300,2000,15000,250000,0,0,0,0,0,0
191,548,3,22,0,0,0,0,114,20,815,300,2000,15000,250000,0,0,0,0,0,0
192,662,3,22,0,0,0,0,114,20,815,300,2000,15000,250000,0,0,0,0,0,0
193,776,3,22,0,0,0,0,114,20,815,300,2000,15000,250000,0,0,0,0,0,0
194,75,3,23,0,0,0,0,114,20,815,300,2000,15000,250000,0,1,0,0,0,0
195,189,3,23,0,0,0,0,119,20,896,300,2000,15000,250000,0,0,0,0,0,0
196,308,3,23,0,0,0,0,119,20,896,300,2000,15000,250000,0,0,0,0,0,0
197,427,3,23,0,0,0,0,119,20,896,300,2000,15000,250000,0,0,0,0,0,0
198,546,3,23,0,0,0,0,119,20,896,300,2000,15000,250000,0,0,0,0,0,0
199,665,3,23,0,0,0,0,119,20,896,300,2000,15000,250000,0,0,0,0,0,0
200,784,3,23,0,0,0,0,119,20,896,300,2000,15000,250000,0,0,0,0,0,0
201,7,3,24,0,0,0,0,119,20,896,300,2000,15000,250000,0,1,0,0,0,0
202,126,3,24,0,0,0,0,124,20,985,300,2000,15000,250000,0,0,0,0,0,0
203,250,3,24,0,0,0,0,124,20,985,300,2000,15000,250000,0,0,0,0,0,0
204,374,3,24,0,0,0,0,124,20,985,300,2000,15000,250000,0,0,0,0,0,0
205,498,3,24,0,0,0,0,124,20,985,300,2000,15000,250000,0,0,0,0,0,0
206,622,3,24,0,0,0,0,124,20,985,300,2000,15000,250000,0,0,0,0,0,0
207,746,3,24,0,0,0,0,124,20,985,300,2000,15000,250000,0,0,0,0,0,0
208,870,3,24,0,0,0,0,124,20,985,300,2000,15000,250000,0,0,0,0,0,0
209,9,3,25,0,0,0,0,124,20,985,300,2000,15000,250000,0,1,0,0,0,0
210,133,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
211,262,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
212,391,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
213,520,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
214,649,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
215,778,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
216,907,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
217,1036,3,25,0,0,0,0,129,20,1084,300,2000,15000,250000,0,0,0,0,0,0
218,81,3,26,0,0,0,0,129,20,1084,300,2000,15000,250000,0,1,0,0,0,0
219,210,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
220,344,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
221,478,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
222,612,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
223,746,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
224,880,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
225,1014,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
226,1148,3,26,0,0,0,0,134,20,1192,300,2000,15000,250000,0,0,0,0,0,0
227,90,3,27,0,0,0,0,134,20,1192,300,2000,15000,250000,0,1,0,0,0,0
228,224,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
229,363,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
230,502,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
231,641,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
232,780,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
233,919,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
234,1058,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
235,1197,3,27,0,0,0,0,139,20,1311,300,2000,15000,250000,0,0,0,0,0,0
236,25,3,28,0,0,0,0,139,20,1311,300,2000,15000,250000,0,1,0,0,0,0
237,164,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
238,308,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
239,452,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
240,596,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
241,740,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
242,884,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
243,1028,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
244,1172,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
245,1316,3,28,0,0,0,0,144,20,1443,300,2000,15000,250000,0,0,0,0,0,0
246,17,3,29,0,0,0,0,144,20,1443,300,2000,15000,250000,0,1,0,0,0,0
247,161,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
248,310,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
249,459,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
250,608,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
251,757,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
252,906,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
253,1055,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
254,1204,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
255,1353,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
256,1502,3,29,0,0,0,0,149,20,1587,300,2000,15000,250000,0,0,0,0,0,0
257,64,3,30,0,0,0,0,149,20,1587,300,2000,15000,250000,0,1,0,0,0,0
258,213,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
259,367,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
260,521,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
261,675,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
262,829,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
263,983,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
264,1137,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
265,1291,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
266,1445,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
267,1599,3,30,0,0,0,0,154,20,1745,300,2000,15000,250000,0,0,0,0,0,0
268,8,3,31,0,0,0,0,154,20,1745,300,2000,15000,250000,0,1,0,0,0,0
269,162,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
270,321,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
271,480,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
272,639,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
273,798,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
274,957,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
275,1116,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
276,1275,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
277,1434,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
278,1593,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
279,1752,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
280,1911,3,31,0,0,0,0,159,20,1920,300,2000,15000,250000,0,0,0,0,0,0
281,150,3,32,0,0,0,0,159,20,1920,300,2000,15000,250000,0,1,0,0,0,0
282,309,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
283,473,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
284,637,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
285,801,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
286,965,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
287,1129,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
288,1293,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
289,1457,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
290,1621,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
291,1785,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
292,1949,3,32,0,0,0,0,164,20,2112,300,2000,15000,250000,0,0,0,0,0,0
293,1,3,33,0,0,0,0,164,20,2112,300,2000,15000,250000,0,1,0,0,0,0
294,165,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
295,334,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
296,503,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
297,672,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
298,841,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
299,1010,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
300,1179,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
301,1348,3,33,0,0,0,0,169,20,2323,300,2000,15000,250000,0,0,0,0,0,0
